Prolific ID	Session ID	latexExp	latexFreq	chatbotFreq	KeysPressedHL	KeysPressedNH	AvgTimeHL	AvgTimeNH	UniqueTLXHL	UniqueTLXNH	# of interactions HL	# of interactions NH	Status
603e5fee82d6b0e3e7c374ad	67fffbd61bea2fbbc0915dd5	< 1 year	When needed	Twice a week	32	24	14.69	14.94	3	3	10	10	APPROVED
67862af016468406c9e674c1	67fffd566c6f3e9bbc5c0462	1–2 years	Twice a week	Daily	13	1	18.12	17.70	1	3	10	10	REJECTED
64a7d9ea7795f1dd1c16adca	67fffe6f4803496c26008570	3–5 years	Daily	Twice a week	61	70	13.28	13.03	4	4	10	10	APPROVED
671b94ad472ce4d165ac5189	67ffff301694d7b99bf5da7b	< 1 year	When needed	When needed	23	13	17.71	15.43	3	3	10	10	APPROVED
67f2f9714b07a179655d2c58	6800063bc8f7aea17cc90b8a	3–5 years	Twice a week	Daily	45	18	13.98	12.14	3	4	10	10	APPROVED
67ef5d4cd8cc8b703fdf70f4	680a8f6741a660a722c6da95	3–5 years	Daily	Daily	0	0	7.80	12.67	3	3	10	10	REJECTED
67e9567ab7e65c3cc9b56193	680a8f67d761f6427f2f89f2	< 1 year	Monthly	Weekly	142	99	19.62	18.74	3	3	10	10	APPROVED
65a3ec77f674ac3e98f0c6ac	680a8f685d0731c0fb4a0863	3–5 years	Once a week	Weekly	8	20	13.03	13.92	3	3	10	10	APPROVED
5f3287b83428cb05746e2214	680a8f6d140feb489256d28f	< 1 year	Monthly	Daily	4	7	16.64	17.23	4	4	10	10	APPROVED
6767e3338fb21303557a8903	680a9e691c004b9252a87f24	< 1 year	When needed	Weekly	22	0	16.21	14.71	3	4	10	10	APPROVED
66c20c5d7fb5c5aced53c5f3	680ab14338737ef56595a525	1–2 years	Twice a week	Daily	10	50	15.86	16.05	3	2	10	10	APPROVED
67d050fe9e9e3ab54fc19a56	680ac013cc21be332dd17b5d	More than 5 years	When needed	Weekly	5	3	18.52	15.60	4	4	10	10	APPROVED
